delta_vertex,delta_vac,delta_virtual,delta_r1,delta_r2,delta_R,delta_1,delta_2
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.17930757966201746,0.019078766222524888,-0.16022881343949258,-0.27111473566466815,0.2206738642259476,-0.05044087143872056,-0.002326553184107458,-0.00216881490081262
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.18284479179147425,0.01926669912862351,-0.16357809266285075,-0.2726482416017434,0.2271828367777408,-0.0454654048240026,-0.0027255893099130436,-0.002431998941275202
-0.19027843742235984,0.01965587115671559,-0.17062256626564426,-0.27527763009088624,0.23196153313568663,-0.04331609695519961,-0.0037617623494788487,-0.0030740368168719855
-0.19027843742235984,0.01965587115671559,-0.17062256626564426,-0.27527763009088624,0.23196153313568663,-0.04331609695519961,-0.0037617623494788487,-0.0030740368168719855
-0.19027843742235984,0.01965587115671559,-0.17062256626564426,-0.27527763009088624,0.23196153313568663,-0.04331609695519961,-0.0037617623494788487,-0.0030740368168719855
